"","Record_Number","Run_ID","Date_Time","Study_Info","Time_Period","LT_Iteration","Risk_Iteration","Run_Status","Memory_Usage","Memory_Avail","Message_Type","Message","Message_Time"
"25",24,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Fuel table in study: Fuels","11/10/2022 10:57:20 AM"
"26",25,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Hydro Monthly table in study: Hydro Monthly","11/10/2022 10:57:20 AM"
"27",26,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Hydro Vectors table in study: Hydro Vectors","11/10/2022 10:57:20 AM"
"28",27,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Time Series Weekly table in study: Time Series Weekly","11/10/2022 10:57:20 AM"
"29",28,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Time Series Monthly table in study: Time Series Monthly","11/10/2022 10:57:20 AM"
"30",29,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Time Series Annual table in study: Time Series Annual","11/10/2022 10:57:20 AM"
"31",30,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Resource Groups table in study: Resource Groups","11/10/2022 10:57:20 AM"
"32",31,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Unit Conversion table in study: Units Conversion","11/10/2022 10:57:20 AM"
"33",32,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Constraint table in study: Constraint Table Example","11/10/2022 10:57:20 AM"
"34",33,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","System Diagram table in study: System Diagram for Alberta","11/10/2022 10:57:20 AM"
