"","Date","Hour","Demand"
"1","2020-01-01","00",9467
"2","2020-01-01","01",9361
"3","2020-01-01","02",9286
"4","2020-01-01","03",9209
"5","2020-01-01","04",9195
"6","2020-01-01","05",9224
"7","2020-01-01","06",9342
"8","2020-01-01","07",9514
"9","2020-01-01","08",9648
"10","2020-01-01","09",9745
"11","2020-01-01","10",9878
"12","2020-01-01","11",9989
"13","2020-01-01","12",10043
"14","2020-01-01","13",10025
"15","2020-01-01","14",10032
"16","2020-01-01","15",10154
"17","2020-01-01","16",10427
"18","2020-01-01","17",10697
"19","2020-01-01","18",10592
"20","2020-01-01","19",10460
"21","2020-01-01","20",10274
"22","2020-01-01","21",10120
"23","2020-01-01","22",9872
"24","2020-01-01","23",9619
"25","2020-01-02","00",9605
"26","2020-01-02","01",9479
"27","2020-01-02","02",9397
"28","2020-01-02","03",9361
"29","2020-01-02","04",9383
"30","2020-01-02","05",9522
"31","2020-01-02","06",9840
"32","2020-01-02","07",10261
"33","2020-01-02","08",10500
"34","2020-01-02","09",10510
"35","2020-01-02","10",10635
"36","2020-01-02","11",10686
"37","2020-01-02","12",10645
"38","2020-01-02","13",10626
"39","2020-01-02","14",10596
"40","2020-01-02","15",10670
"41","2020-01-02","16",10951
"42","2020-01-02","17",11180
"43","2020-01-02","18",11029
"44","2020-01-02","19",10934
"45","2020-01-02","20",10814
"46","2020-01-02","21",10587
"47","2020-01-02","22",10278
"48","2020-01-02","23",9935
"49","2020-01-03","00",9756
"50","2020-01-03","01",9627
"51","2020-01-03","02",9549
"52","2020-01-03","03",9540
"53","2020-01-03","04",9549
"54","2020-01-03","05",9702
"55","2020-01-03","06",9984
"56","2020-01-03","07",10302
"57","2020-01-03","08",10581
"58","2020-01-03","09",10637
"59","2020-01-03","10",10703
"60","2020-01-03","11",10733
"61","2020-01-03","12",10681
"62","2020-01-03","13",10685
"63","2020-01-03","14",10694
"64","2020-01-03","15",10741
"65","2020-01-03","16",10955
"66","2020-01-03","17",11093
"67","2020-01-03","18",10941
"68","2020-01-03","19",10781
"69","2020-01-03","20",10625
"70","2020-01-03","21",10449
"71","2020-01-03","22",10194
"72","2020-01-03","23",9965
"73","2020-01-04","00",9772
"74","2020-01-04","01",9621
"75","2020-01-04","02",9505
"76","2020-01-04","03",9430
"77","2020-01-04","04",9395
"78","2020-01-04","05",9432
"79","2020-01-04","06",9542
"80","2020-01-04","07",9832
"81","2020-01-04","08",10109
"82","2020-01-04","09",10252
"83","2020-01-04","10",10380
"84","2020-01-04","11",10426
"85","2020-01-04","12",10416
"86","2020-01-04","13",10352
"87","2020-01-04","14",10349
"88","2020-01-04","15",10425
"89","2020-01-04","16",10663
"90","2020-01-04","17",10955
"91","2020-01-04","18",10811
"92","2020-01-04","19",10644
"93","2020-01-04","20",10505
"94","2020-01-04","21",10381
"95","2020-01-04","22",10170
"96","2020-01-04","23",9931
"97","2020-01-05","00",9773
"98","2020-01-05","01",9644
"99","2020-01-05","02",9534
"100","2020-01-05","03",9507
"101","2020-01-05","04",9512
"102","2020-01-05","05",9534
"103","2020-01-05","06",9628
"104","2020-01-05","07",9824
"105","2020-01-05","08",10058
"106","2020-01-05","09",10170
"107","2020-01-05","10",10265
"108","2020-01-05","11",10301
"109","2020-01-05","12",10331
"110","2020-01-05","13",10307
"111","2020-01-05","14",10306
"112","2020-01-05","15",10421
"113","2020-01-05","16",10710
"114","2020-01-05","17",11054
"115","2020-01-05","18",10958
"116","2020-01-05","19",10783
"117","2020-01-05","20",10640
"118","2020-01-05","21",10389
"119","2020-01-05","22",10060
"120","2020-01-05","23",9822
"121","2020-01-06","00",9683
"122","2020-01-06","01",9585
"123","2020-01-06","02",9497
"124","2020-01-06","03",9491
"125","2020-01-06","04",9591
"126","2020-01-06","05",9829
"127","2020-01-06","06",10271
"128","2020-01-06","07",10751
"129","2020-01-06","08",10927
"130","2020-01-06","09",10923
"131","2020-01-06","10",10936
"132","2020-01-06","11",10847
"133","2020-01-06","12",10787
"134","2020-01-06","13",10813
"135","2020-01-06","14",10795
"136","2020-01-06","15",10865
"137","2020-01-06","16",11110
"138","2020-01-06","17",11246
"139","2020-01-06","18",11104
"140","2020-01-06","19",11008
"141","2020-01-06","20",10882
"142","2020-01-06","21",10596
"143","2020-01-06","22",10367
"144","2020-01-06","23",10099
"145","2020-01-07","00",9932
"146","2020-01-07","01",9827
"147","2020-01-07","02",9773
"148","2020-01-07","03",9749
"149","2020-01-07","04",9825
"150","2020-01-07","05",9984
"151","2020-01-07","06",10340
"152","2020-01-07","07",10815
"153","2020-01-07","08",11058
"154","2020-01-07","09",11029
"155","2020-01-07","10",11056
"156","2020-01-07","11",11080
"157","2020-01-07","12",11112
"158","2020-01-07","13",11124
"159","2020-01-07","14",11103
"160","2020-01-07","15",11200
"161","2020-01-07","16",11384
"162","2020-01-07","17",11489
"163","2020-01-07","18",11319
"164","2020-01-07","19",11147
"165","2020-01-07","20",11023
"166","2020-01-07","21",10773
"167","2020-01-07","22",10402
"168","2020-01-07","23",10061
"169","2020-01-08","00",9869
"170","2020-01-08","01",9728
"171","2020-01-08","02",9676
"172","2020-01-08","03",9727
"173","2020-01-08","04",9808
"174","2020-01-08","05",10009
"175","2020-01-08","06",10408
"176","2020-01-08","07",10868
"177","2020-01-08","08",11064
"178","2020-01-08","09",11020
"179","2020-01-08","10",11024
"180","2020-01-08","11",11041
"181","2020-01-08","12",11052
"182","2020-01-08","13",11092
"183","2020-01-08","14",11080
"184","2020-01-08","15",11177
"185","2020-01-08","16",11373
"186","2020-01-08","17",11503
"187","2020-01-08","18",11388
"188","2020-01-08","19",11250
"189","2020-01-08","20",11078
"190","2020-01-08","21",10837
"191","2020-01-08","22",10535
"192","2020-01-08","23",10269
"193","2020-01-09","00",10017
"194","2020-01-09","01",9847
"195","2020-01-09","02",9815
"196","2020-01-09","03",9797
"197","2020-01-09","04",9857
"198","2020-01-09","05",10071
"199","2020-01-09","06",10457
"200","2020-01-09","07",10871
"201","2020-01-09","08",11081
"202","2020-01-09","09",11109
"203","2020-01-09","10",11166
"204","2020-01-09","11",11179
"205","2020-01-09","12",11119
"206","2020-01-09","13",11087
"207","2020-01-09","14",11080
"208","2020-01-09","15",11144
"209","2020-01-09","16",11335
"210","2020-01-09","17",11509
"211","2020-01-09","18",11449
"212","2020-01-09","19",11411
"213","2020-01-09","20",11357
"214","2020-01-09","21",11105
"215","2020-01-09","22",10812
"216","2020-01-09","23",10517
"217","2020-01-10","00",10324
"218","2020-01-10","01",10223
"219","2020-01-10","02",10186
"220","2020-01-10","03",10165
"221","2020-01-10","04",10208
"222","2020-01-10","05",10368
"223","2020-01-10","06",10723
"224","2020-01-10","07",11151
"225","2020-01-10","08",11288
"226","2020-01-10","09",11309
"227","2020-01-10","10",11362
"228","2020-01-10","11",11341
"229","2020-01-10","12",11328
"230","2020-01-10","13",11286
"231","2020-01-10","14",11232
"232","2020-01-10","15",11246
"233","2020-01-10","16",11443
"234","2020-01-10","17",11493
"235","2020-01-10","18",11327
"236","2020-01-10","19",11210
"237","2020-01-10","20",11128
"238","2020-01-10","21",10919
"239","2020-01-10","22",10667
"240","2020-01-10","23",10406
"241","2020-01-11","00",10235
"242","2020-01-11","01",10102
"243","2020-01-11","02",9980
"244","2020-01-11","03",9905
"245","2020-01-11","04",10046
"246","2020-01-11","05",10141
"247","2020-01-11","06",10312
"248","2020-01-11","07",10518
"249","2020-01-11","08",10772
"250","2020-01-11","09",10882
"251","2020-01-11","10",10959
"252","2020-01-11","11",10998
"253","2020-01-11","12",10884
"254","2020-01-11","13",10898
"255","2020-01-11","14",10856
"256","2020-01-11","15",10924
"257","2020-01-11","16",11103
"258","2020-01-11","17",11399
"259","2020-01-11","18",11295
"260","2020-01-11","19",11202
"261","2020-01-11","20",11093
"262","2020-01-11","21",10935
"263","2020-01-11","22",10699
"264","2020-01-11","23",10485
"265","2020-01-12","00",10337
"266","2020-01-12","01",10193
"267","2020-01-12","02",10082
"268","2020-01-12","03",10056
"269","2020-01-12","04",10004
"270","2020-01-12","05",10056
"271","2020-01-12","06",10170
"272","2020-01-12","07",10417
"273","2020-01-12","08",10694
"274","2020-01-12","09",10713
"275","2020-01-12","10",10853
"276","2020-01-12","11",10962
"277","2020-01-12","12",11067
"278","2020-01-12","13",11050
"279","2020-01-12","14",11119
"280","2020-01-12","15",11213
"281","2020-01-12","16",11397
"282","2020-01-12","17",11650
"283","2020-01-12","18",11523
"284","2020-01-12","19",11373
"285","2020-01-12","20",11254
"286","2020-01-12","21",11149
"287","2020-01-12","22",10916
"288","2020-01-12","23",10534
"289","2020-01-13","00",10362
"290","2020-01-13","01",10298
"291","2020-01-13","02",10253
"292","2020-01-13","03",10204
"293","2020-01-13","04",10257
"294","2020-01-13","05",10407
"295","2020-01-13","06",10652
"296","2020-01-13","07",11000
"297","2020-01-13","08",11173
"298","2020-01-13","09",11227
"299","2020-01-13","10",11279
"300","2020-01-13","11",11329
"301","2020-01-13","12",11356
"302","2020-01-13","13",11315
"303","2020-01-13","14",11272
"304","2020-01-13","15",11254
"305","2020-01-13","16",11406
"306","2020-01-13","17",11693
"307","2020-01-13","18",11609
"308","2020-01-13","19",11447
"309","2020-01-13","20",11296
"310","2020-01-13","21",11077
"311","2020-01-13","22",10729
"312","2020-01-13","23",10431
"313","2020-01-14","00",10328
"314","2020-01-14","01",10279
"315","2020-01-14","02",10238
"316","2020-01-14","03",10273
"317","2020-01-14","04",10315
"318","2020-01-14","05",10501
"319","2020-01-14","06",10816
"320","2020-01-14","07",11182
"321","2020-01-14","08",11334
