,Date,Hour,Demand
200,2021-01-09,7,9980
201,2021-01-09,8,10155
202,2021-01-09,9,10268
203,2021-01-09,10,10320
204,2021-01-09,11,10342
205,2021-01-09,12,10296
206,2021-01-09,13,10220
207,2021-01-09,14,10122
208,2021-01-09,15,10172
209,2021-01-09,16,10459
210,2021-01-09,17,10822
211,2021-01-09,18,10670
212,2021-01-09,19,10520
213,2021-01-09,20,10384
214,2021-01-09,21,10218
215,2021-01-09,22,9981
216,2021-01-09,23,9769
217,2021-01-10,0,9620
218,2021-01-10,1,9549
219,2021-01-10,2,9461
220,2021-01-10,3,9427
221,2021-01-10,4,9446
222,2021-01-10,5,9508
223,2021-01-10,6,9595
224,2021-01-10,7,9745
225,2021-01-10,8,9889
226,2021-01-10,9,9988
227,2021-01-10,10,10127
228,2021-01-10,11,10237
229,2021-01-10,12,10241
230,2021-01-10,13,10221
231,2021-01-10,14,10175
232,2021-01-10,15,10259
233,2021-01-10,16,10546
234,2021-01-10,17,10908
235,2021-01-10,18,10818
236,2021-01-10,19,10680
237,2021-01-10,20,10502
238,2021-01-10,21,10269
239,2021-01-10,22,9963
240,2021-01-10,23,9662
241,2021-01-11,0,9499
242,2021-01-11,1,9428
243,2021-01-11,2,9350
244,2021-01-11,3,9268
245,2021-01-11,4,9318
246,2021-01-11,5,9503
247,2021-01-11,6,9884
248,2021-01-11,7,10396
249,2021-01-11,8,10614
250,2021-01-11,9,10565
251,2021-01-11,10,10601
252,2021-01-11,11,10570
253,2021-01-11,12,10555
254,2021-01-11,13,10493
255,2021-01-11,14,10466
256,2021-01-11,15,10506
257,2021-01-11,16,10704
258,2021-01-11,17,10940
259,2021-01-11,18,10720
260,2021-01-11,19,10556
261,2021-01-11,20,10402
262,2021-01-11,21,10168
263,2021-01-11,22,9835
264,2021-01-11,23,9588
265,2021-01-12,0,9400
266,2021-01-12,1,9263
267,2021-01-12,2,9156
268,2021-01-12,3,9124
269,2021-01-12,4,9158
270,2021-01-12,5,9292
271,2021-01-12,6,9725
272,2021-01-12,7,10242
273,2021-01-12,8,10529
274,2021-01-12,9,10553
275,2021-01-12,10,10606
276,2021-01-12,11,10653
277,2021-01-12,12,10585
278,2021-01-12,13,10522
279,2021-01-12,14,10446
280,2021-01-12,15,10476
281,2021-01-12,16,10662
282,2021-01-12,17,10892
283,2021-01-12,18,10706
284,2021-01-12,19,10595
285,2021-01-12,20,10405
286,2021-01-12,21,10181
287,2021-01-12,22,9901
288,2021-01-12,23,9626
289,2021-01-13,0,9476
290,2021-01-13,1,9326
291,2021-01-13,2,9308
292,2021-01-13,3,9296
293,2021-01-13,4,9334
294,2021-01-13,5,9494
295,2021-01-13,6,9812
296,2021-01-13,7,10338
297,2021-01-13,8,10620
298,2021-01-13,9,10627
299,2021-01-13,10,10673
300,2021-01-13,11,10712
301,2021-01-13,12,10747
302,2021-01-13,13,10741
303,2021-01-13,14,10673
304,2021-01-13,15,10746
305,2021-01-13,16,10872
306,2021-01-13,17,10970
307,2021-01-13,18,10783
308,2021-01-13,19,10589
309,2021-01-13,20,10414
310,2021-01-13,21,10188
311,2021-01-13,22,9878
312,2021-01-13,23,9627
313,2021-01-14,0,9475
314,2021-01-14,1,9378
315,2021-01-14,2,9327
316,2021-01-14,3,9325
317,2021-01-14,4,9368
318,2021-01-14,5,9553
319,2021-01-14,6,9888
320,2021-01-14,7,10363
321,2021-01-14,8,10608
322,2021-01-14,9,10567
323,2021-01-14,10,10564
324,2021-01-14,11,10532
325,2021-01-14,12,10472
326,2021-01-14,13,10407
327,2021-01-14,14,10379
328,2021-01-14,15,10418
329,2021-01-14,16,10654
330,2021-01-14,17,10866
331,2021-01-14,18,10780
332,2021-01-14,19,10759
333,2021-01-14,20,10634
334,2021-01-14,21,10388
335,2021-01-14,22,10081
336,2021-01-14,23,9828
337,2021-01-15,0,9638
338,2021-01-15,1,9547
339,2021-01-15,2,9459
340,2021-01-15,3,9432
341,2021-01-15,4,9459
342,2021-01-15,5,9582
343,2021-01-15,6,9893
344,2021-01-15,7,10315
345,2021-01-15,8,10590
346,2021-01-15,9,10619
347,2021-01-15,10,10671
348,2021-01-15,11,10594
349,2021-01-15,12,10575
350,2021-01-15,13,10522
351,2021-01-15,14,10428
352,2021-01-15,15,10389
353,2021-01-15,16,10561
354,2021-01-15,17,10831
355,2021-01-15,18,10695
356,2021-01-15,19,10472
357,2021-01-15,20,10314
358,2021-01-15,21,10157
359,2021-01-15,22,9935
360,2021-01-15,23,9595
361,2021-01-16,0,9352
